Session,Bill Number,Date of introduction,Sponsorship Type,Status Description,Bill Description,State Link
GA-2013-2014,SB25,2013-01-14,Cosponsor,Passed,"A BILL to be entitled an Act to amend an Act entitled ""An Act to provide for the restructuring of the government of the City of Macon, the City of Payne City, and Bibb County,"" approved April 20, 2012 (Ga. L. 2012, p. 5595), so as to provide for nonpartisan elections of the mayor and commissioners; to repeal conflicting laws; and for other purposes.",https://www.legis.ga.gov/legislation/37827
GA-2013-2014,SB26,2013-01-14,Cosponsor,Passed,"A BILL to be entitled an Act to provide that future elections for the office of coroner of Bibb County shall be nonpartisan elections; to provide for submission of this Act under the federal Voting Rights Act of 1965, as amended; to provide for related matters; to repeal conflicting laws; and for other purposes.",https://www.legis.ga.gov/legislation/37828
GA-2013-2014,SB27,2013-01-14,Cosponsor,Engrossed,"A BILL to be entitled an Act to amend an Act creating the Civil Court of Bibb County, approved March 3, 1955 (Ga. L. 1955, p. 2552), as amended, so as to provide for the nonpartisan election of the judge of said court; to provide for submission of this Act for preclearance under Section 5 of the federal Voting Rights Act of 1965, as amended; to repeal conflicting laws; and for other purposes.",https://www.legis.ga.gov/legislation/37829
GA-2013-2014,SB29,2013-01-14,Cosponsor,Engrossed,"A BILL to be entitled an Act to provide that future elections for the office of chief magistrate judge of the Magistrate Court of Bibb County shall be nonpartisan elections; to provide for submission of this Act for preclearance under the federal Voting Rights Act of 1965, as amended; to provide for related matters; to repeal conflicting laws; and for other purposes.",https://www.legis.ga.gov/legislation/37836
GA-2013-2014,SB30,2013-01-14,Cosponsor,Passed,"A BILL to be entitled an Act to amend an Act establishing the Board of Public Education for Bibb County, approved August 23, 1872 (Ga. L. 1872, p. 388), as amended, particularly by an Act approved April 25, 2002 (Ga. L. 2002, p. 4932), so as to provide for the nonpartisan election of members comprising the board of education; to provide for the submission of this Act under Section 5 of the federal Voting Rights Act of 1965, as amended; to provide for related matters; to repeal conflicting laws; and for other purposes.",https://www.legis.ga.gov/legislation/37837
GA-2013-2014,SB31,2013-01-14,Cosponsor,Passed,"A BILL to be entitled an Act to amend an Act known as the ""Macon-Bibb County Water and Sewerage Authority Act,"" approved March 2, 1966 (Ga. L. 1966, p. 2737), as amended, particularly by an Act approved March 23, 1992 (Ga. L. 1992, p. 4991), and an Act approved May 6, 2009 (Ga. L. 2009, p. 3681), so as to provide for nonpartisan election for the members of such authority; to provide for federal preclearance; to provide for related matters; to repeal conflicting laws; and for other purposes.",https://www.legis.ga.gov/legislation/37839
GA-2013-2014,SB32,2013-01-14,Cosponsor,Engrossed,"A BILL to be entitled an Act to provide that future elections for the office of probate judge of Bibb County shall be nonpartisan elections held at the time of certain general primary elections; to provide for submission of this Act under the federal Voting Rights Act of 1965, as amended; to provide for related matters; to provide an effective date; to repeal conflicting laws; and for other purposes.",https://www.legis.ga.gov/legislation/37841
GA-2013-2014,SR29,2013-01-17,Cosponsor,Passed,"A RESOLUTION recognizing the annual Cordele-Crisp County Fish Fry and commending Mr. Eli Tinsley, Mr. Jamie Fernandez, Mr. Arthur James Nance, Mr. Bub Denham, and the Cordele-Crisp County Fish Fry cooking team; and for other purposes.",https://www.legis.ga.gov/legislation/37942
GA-2013-2014,SR66,2013-01-28,Cosponsor,Passed,A RESOLUTION commending the Georgia Peach Festival and the 2012 Georgia Peach Queens; and for other purposes.,https://www.legis.ga.gov/legislation/38034
GA-2013-2014,SB91,2013-01-31,Cosponsor,Passed,"A BILL to be entitled an Act to amend Title 2 of the Official Code of Georgia Annotated, relating to agriculture, so as to repeal the ""Emerging Crops Fund Act""; to repeal conflicting laws; and for other purposes.",https://www.legis.ga.gov/legislation/38287
GA-2013-2014,HB177,2013-01-31,Cosponsor,Passed,"A BILL to be entitled an Act to amend Code Section 12-3-402 of the Official Code of Georgia Annotated, relating to the creation and operation of the Oconee River Greenway Authority, so as to change the membership of the authority; to repeal conflicting laws; and for other purposes.",https://www.legis.ga.gov/legislation/38266
GA-2013-2014,SR182,2013-02-06,Sponsor,Passed,A RESOLUTION recognizing and commending United States Army Retired Major General Peter J. Boylan; and for other purposes.,https://www.legis.ga.gov/legislation/38440
GA-2013-2014,SR181,2013-02-06,Sponsor,Passed,"A RESOLUTION recognizing and commending Mr. Carey Williams, Jr.; and for other purposes.",https://www.legis.ga.gov/legislation/38439
GA-2013-2014,SB113,2013-02-06,Cosponsor,Passed,"A BILL to be entitled an Act to amend Code Section 9-11-4 of the Official Code of Georgia Annotated, relating to process, so as to change provisions relating to personal service of a summons on a corporation; to provide for related matters; to repeal conflicting laws; and for other purposes.",https://www.legis.ga.gov/legislation/38443
